"Bike model","Year and running Km","Price"
"Tvs SCOOTY STREEK . 2013model","2013 - 16,552 km","? 28,000"
"TVS SCOOTY ZEST 110 2018","2018 - 2,385 km","? 55,000"
"New pep + 90 dow payment 9,000","2023 - 0 km","? 9,000"
"Urgent sale","2018 - 26,500 km","? 33,500"
"TVS scooty Pep","2016 - 30,000 km","? 37,500"
"Self starting good condition or kam rs me bhi le sakte hain","2012 - 15,000 km","? 17,000"
"Good condition","2009 - 6,000 km","? 17,000"
"sale my tvs sold","2020 - 30,000 km","? 35,000"
"TVS Jupiter 110cc 2016 petrol scooty","2016 - 20,000 km","? 35,000"
"Good condition single owner insurance Labs","2019 - 15,800 km","? 38,000"
"Good condition me hai bechne ka Karn pesa ke jaruri hai","2016 - 23,000 km","? 42,000"
"Work from home","2008 - 85,555 km","? 2,000"
"Good&neet 2020 model good condition Rice edion","2020 - 28,000 km","? 73,000"
"Very good condition TVS wego","2010 - 16,557 km","? 21,500"
"Tvs scooty very minimally used fully in condition","2019 - 8,000 km","? 32,000"
"GOOD RUNNING CONDITION","2009 - 15,000 km","? 20,000"
"SCOOTY PEP+","2018 - 19,825 km","? 35,000"
"Sale BS4 TVS Jupiter ZX 110cc fully mint condition scooty.","2019 - 10,657 km","? 46,500"
"Scooty pept for sale","2010 - 15,000 km","? 24,000"
"Brand new back tyre running fine till now outlook prefect condition","2013 - 16,100 km","? 29,000"
